case_id,object_type,event_id,activity,timestamp
HM003,HiringManager,E0000001,Create Job Requisition,2024-10-02T08:12:17.823636
JR001,JobRequisition,E0000001,Create Job Requisition,2024-10-02T08:12:17.823636
JR001,JobRequisition,E0000002,Approve Job Requisition,2024-10-02T08:32:17.823636
JR001,JobRequisition,E0000003,Post Job Opening,2024-10-02T08:46:17.823636
R010,Recruiter,E0000003,Post Job Opening,2024-10-02T08:46:17.823636
HM008,HiringManager,E0000004,Create Job Requisition,2024-10-02T08:46:17.823636
JR002,JobRequisition,E0000004,Create Job Requisition,2024-10-02T08:46:17.823636
JR002,JobRequisition,E0000005,Approve Job Requisition,2024-10-02T09:24:17.823636
JR002,JobRequisition,E0000006,Post Job Opening,2024-10-02T09:56:17.823636
R010,Recruiter,E0000006,Post Job Opening,2024-10-02T09:56:17.823636
HM019,HiringManager,E0000007,Create Job Requisition,2024-10-02T09:56:17.823636
JR003,JobRequisition,E0000007,Create Job Requisition,2024-10-02T09:56:17.823636
JR003,JobRequisition,E0000008,Approve Job Requisition,2024-10-02T10:43:17.823636
JR003,JobRequisition,E0000009,Post Job Opening,2024-10-02T11:12:17.823636
R008,Recruiter,E0000009,Post Job Opening,2024-10-02T11:12:17.823636
HM019,HiringManager,E0000010,Create Job Requisition,2024-10-02T11:12:17.823636
JR004,JobRequisition,E0000010,Create Job Requisition,2024-10-02T11:12:17.823636
JR004,JobRequisition,E0000011,Approve Job Requisition,2024-10-02T12:02:17.823636
JR004,JobRequisition,E0000012,Post Job Opening,2024-10-02T12:39:17.823636
R003,Recruiter,E0000012,Post Job Opening,2024-10-02T12:39:17.823636
HM001,HiringManager,E0000013,Create Job Requisition,2024-10-02T12:39:17.823636
JR005,JobRequisition,E0000013,Create Job Requisition,2024-10-02T12:39:17.823636
JR005,JobRequisition,E0000014,Approve Job Requisition,2024-10-02T13:33:17.823636
JR005,JobRequisition,E0000015,Post Job Opening,2024-10-02T13:59:17.823636
R008,Recruiter,E0000015,Post Job Opening,2024-10-02T13:59:17.823636
HM009,HiringManager,E0000016,Create Job Requisition,2024-10-02T13:59:17.823636
JR006,JobRequisition,E0000016,Create Job Requisition,2024-10-02T13:59:17.823636
JR006,JobRequisition,E0000017,Approve Job Requisition,2024-10-02T14:38:17.823636
JR006,JobRequisition,E0000018,Post Job Opening,2024-10-02T15:07:17.823636
R009,Recruiter,E0000018,Post Job Opening,2024-10-02T15:07:17.823636
HM019,HiringManager,E0000019,Create Job Requisition,2024-10-02T15:07:17.823636
JR007,JobRequisition,E0000019,Create Job Requisition,2024-10-02T15:07:17.823636
JR007,JobRequisition,E0000020,Approve Job Requisition,2024-10-02T15:29:17.823636
JR007,JobRequisition,E0000021,Post Job Opening,2024-10-02T16:03:17.823636
R008,Recruiter,E0000021,Post Job Opening,2024-10-02T16:03:17.823636
HM002,HiringManager,E0000022,Create Job Requisition,2024-10-02T16:03:17.823636
JR008,JobRequisition,E0000022,Create Job Requisition,2024-10-02T16:03:17.823636
JR008,JobRequisition,E0000023,Approve Job Requisition,2024-10-02T16:43:17.823636
JR008,JobRequisition,E0000024,Post Job Opening,2024-10-02T16:59:17.823636
R006,Recruiter,E0000024,Post Job Opening,2024-10-02T16:59:17.823636
HM006,HiringManager,E0000025,Create Job Requisition,2024-10-02T16:59:17.823636
JR009,JobRequisition,E0000025,Create Job Requisition,2024-10-02T16:59:17.823636
JR009,JobRequisition,E0000026,Approve Job Requisition,2024-10-02T17:24:17.823636
JR009,JobRequisition,E0000027,Post Job Opening,2024-10-02T17:58:17.823636
R006,Recruiter,E0000027,Post Job Opening,2024-10-02T17:58:17.823636
HM016,HiringManager,E0000028,Create Job Requisition,2024-10-02T17:58:17.823636
JR010,JobRequisition,E0000028,Create Job Requisition,2024-10-02T17:58:17.823636
JR010,JobRequisition,E0000029,Approve Job Requisition,2024-10-02T18:44:17.823636
JR010,JobRequisition,E0000030,Post Job Opening,2024-10-02T19:16:17.823636
R009,Recruiter,E0000030,Post Job Opening,2024-10-02T19:16:17.823636
HM017,HiringManager,E0000031,Create Job Requisition,2024-10-02T19:16:17.823636
JR011,JobRequisition,E0000031,Create Job Requisition,2024-10-02T19:16:17.823636
JR011,JobRequisition,E0000032,Approve Job Requisition,2024-10-02T20:02:17.823636
JR011,JobRequisition,E0000033,Post Job Opening,2024-10-02T20:30:17.823636
R009,Recruiter,E0000033,Post Job Opening,2024-10-02T20:30:17.823636
HM015,HiringManager,E0000034,Create Job Requisition,2024-10-02T20:30:17.823636
JR012,JobRequisition,E0000034,Create Job Requisition,2024-10-02T20:30:17.823636
JR012,JobRequisition,E0000035,Approve Job Requisition,2024-10-02T21:24:17.823636
JR012,JobRequisition,E0000036,Post Job Opening,2024-10-02T21:52:17.823636
R007,Recruiter,E0000036,Post Job Opening,2024-10-02T21:52:17.823636
HM009,HiringManager,E0000037,Create Job Requisition,2024-10-02T21:52:17.823636
JR013,JobRequisition,E0000037,Create Job Requisition,2024-10-02T21:52:17.823636
JR013,JobRequisition,E0000038,Approve Job Requisition,2024-10-02T22:03:17.823636
JR013,JobRequisition,E0000039,Post Job Opening,2024-10-02T22:55:17.823636
R008,Recruiter,E0000039,Post Job Opening,2024-10-02T22:55:17.823636
HM006,HiringManager,E0000040,Create Job Requisition,2024-10-02T22:55:17.823636
JR014,JobRequisition,E0000040,Create Job Requisition,2024-10-02T22:55:17.823636
JR014,JobRequisition,E0000041,Approve Job Requisition,2024-10-02T23:30:17.823636
JR014,JobRequisition,E0000042,Post Job Opening,2024-10-02T23:57:17.823636
R006,Recruiter,E0000042,Post Job Opening,2024-10-02T23:57:17.823636
HM019,HiringManager,E0000043,Create Job Requisition,2024-10-02T23:57:17.823636
JR015,JobRequisition,E0000043,Create Job Requisition,2024-10-02T23:57:17.823636
JR015,JobRequisition,E0000044,Approve Job Requisition,2024-10-03T00:07:17.823636
JR015,JobRequisition,E0000045,Post Job Opening,2024-10-03T00:53:17.823636
R004,Recruiter,E0000045,Post Job Opening,2024-10-03T00:53:17.823636
HM014,HiringManager,E0000046,Create Job Requisition,2024-10-03T00:53:17.823636
JR016,JobRequisition,E0000046,Create Job Requisition,2024-10-03T00:53:17.823636
JR016,JobRequisition,E0000047,Approve Job Requisition,2024-10-03T01:46:17.823636
JR016,JobRequisition,E0000048,Post Job Opening,2024-10-03T02:45:17.823636
R004,Recruiter,E0000048,Post Job Opening,2024-10-03T02:45:17.823636
HM016,HiringManager,E0000049,Create Job Requisition,2024-10-03T02:45:17.823636
JR017,JobRequisition,E0000049,Create Job Requisition,2024-10-03T02:45:17.823636
JR017,JobRequisition,E0000050,Approve Job Requisition,2024-10-03T03:42:17.823636
JR017,JobRequisition,E0000051,Post Job Opening,2024-10-03T03:55:17.823636
